"id1" "id2" "time"
2 1 1
3 2 1
3 1 1
4 3 1
4 2 1
4 1 1
5 4 1
5 3 1
5 2 1
5 1 1
6 5 1
6 4 1
6 3 1
6 2 1
6 1 1
7 6 1
7 5 1
7 4 1
7 3 1
7 2 1
7 1 1
8 1 1
8 2 1
8 3 1
8 4 1
8 5 1
8 6 1
8 7 1
9 1 2
9 2 2
9 3 2
9 5 2
9 6 2
9 7 2
9 8 2
10 2 3
10 3 3
10 5 3
10 6 3
10 7 3
10 8 3
10 9 3
11 1 4
11 2 4
11 6 4
11 7 4
11 8 4
11 9 4
11 10 4
12 1 5
12 2 5
12 3 5
12 5 5
12 6 5
12 7 5
12 9 5
13 1 6
13 4 6
13 6 6
13 9 6
13 10 6
13 11 6
13 12 6
14 1 7
14 4 7
14 5 7
14 6 7
14 9 7
14 10 7
14 11 7
15 2 8
15 3 8
15 5 8
15 6 8
15 9 8
15 10 8
15 12 8
16 3 9
16 4 9
16 7 9
16 8 9
16 11 9
16 12 9
16 13 9
17 2 10
17 4 10
17 5 10
17 6 10
17 9 10
17 10 10
17 14 10
18 5 11
18 7 11
18 11 11
18 12 11
18 13 11
18 15 11
18 16 11
19 2 12
19 6 12
19 7 12
19 10 12
19 15 12
19 16 12
19 17 12
20 2 13
20 4 13
20 13 13
20 14 13
20 15 13
20 16 13
20 19 13
21 2 14
21 6 14
21 10 14
21 11 14
21 12 14
21 16 14
21 18 14
22 1 15
22 3 15
22 6 15
22 7 15
22 14 15
22 15 15
22 20 15
23 1 16
23 6 16
23 7 16
23 10 16
23 11 16
23 13 16
23 19 16
24 1 17
24 2 17
24 5 17
24 10 17
24 13 17
24 20 17
24 21 17
25 3 18
25 9 18
25 12 18
25 13 18
25 15 18
25 21 18
25 23 18
26 8 19
26 11 19
26 13 19
26 17 19
26 19 19
26 20 19
26 21 19
27 6 20
27 9 20
27 10 20
27 16 20
27 17 20
27 19 20
27 22 20
28 1 21
28 2 21
28 13 21
28 14 21
28 21 21
28 23 21
28 25 21
29 4 22
29 8 22
29 10 22
29 13 22
29 18 22
29 20 22
29 27 22
30 3 23
30 4 23
30 5 23
30 12 23
30 25 23
30 28 23
30 29 23
31 1 24
31 7 24
31 11 24
31 13 24
31 18 24
31 20 24
31 28 24
32 5 25
32 10 25
32 15 25
32 17 25
32 24 25
32 25 25
32 26 25
33 2 26
33 6 26
33 7 26
33 8 26
33 14 26
33 20 26
33 28 26
34 33 27
34 3 27
34 4 27
34 9 27
34 16 27
34 27 27
34 31 27
35 32 28
35 33 28
35 10 28
35 16 28
35 18 28
35 19 28
35 20 28
36 33 29
36 6 29
36 1 29
36 13 29
36 24 29
36 27 29
36 29 29
37 2 30
37 36 30
37 17 30
37 20 30
37 23 30
37 25 30
37 30 30
38 35 31
38 37 31
38 7 31
38 22 31
38 28 31
38 29 31
38 31 31
39 35 32
39 38 32
39 16 32
39 18 32
39 24 32
39 25 32
39 27 32
40 34 33
40 4 33
40 15 33
40 18 33
40 24 33
40 26 33
40 27 33
41 2 34
41 3 34
41 39 34
41 8 34
41 10 34
41 23 34
41 30 34
42 38 35
42 39 35
42 40 35
42 9 35
42 10 35
42 7 35
42 19 35
43 1 36
43 37 36
43 19 36
43 20 36
43 23 36
43 24 36
43 25 36
44 33 37
44 3 37
44 13 37
44 15 37
44 16 37
44 18 37
44 29 37
45 16 38
45 18 38
45 19 38
45 24 38
45 26 38
45 29 38
45 31 38
46 33 39
46 38 39
46 12 39
46 22 39
46 28 39
46 29 39
46 31 39
47 5 40
47 6 40
47 7 40
47 40 40
47 44 40
47 13 40
47 22 40
48 38 41
48 40 41
48 15 41
48 22 41
48 28 41
48 29 41
48 30 41
49 1 42
49 9 42
49 10 42
49 14 42
49 41 42
49 29 42
49 31 42
50 1 43
50 36 43
50 45 43
50 14 43
50 15 43
50 46 43
50 28 43
51 2 44
51 40 44
51 42 44
51 43 44
51 13 44
51 14 44
51 31 44
52 32 45
52 34 45
52 6 45
52 42 45
52 2 45
52 19 45
52 24 45
53 5 46
53 38 46
53 7 46
53 44 46
53 47 46
53 22 46
53 28 46
54 33 47
54 2 47
54 34 47
54 46 47
54 15 47
54 50 47
54 22 47
55 1 48
55 11 48
55 16 48
55 18 48
55 21 48
55 54 48
55 30 48
56 33 49
56 11 49
56 41 49
56 43 49
56 55 49
56 24 49
56 28 49
57 7 50
57 39 50
57 46 50
57 17 50
57 50 50
57 53 50
57 21 50
58 34 51
58 13 51
58 14 51
58 17 51
58 19 51
58 54 51
58 30 51
59 41 52
59 46 52
59 47 52
59 22 52
59 56 52
59 27 52
59 31 52
60 1 53
60 6 53
60 11 53
60 14 53
60 50 53
60 21 53
60 54 53
61 35 54
61 44 54
61 45 54
61 17 54
61 50 54
61 23 54
61 31 54
62 35 55
62 5 55
62 29 55
62 19 55
62 53 55
62 26 55
62 58 55
63 35 56
63 7 56
63 10 56
63 14 56
63 27 56
63 62 56
63 31 56
64 38 57
64 48 57
64 21 57
64 57 57
64 61 57
64 30 57
64 31 57
65 7 58
65 42 58
65 13 58
65 17 58
65 19 58
65 55 58
65 27 58
66 33 59
66 4 59
66 1 59
66 48 59
66 53 59
66 57 59
66 25 59
67 3 60
67 7 60
67 41 60
67 42 60
67 12 60
67 23 60
67 28 60
68 3 61
68 4 61
68 8 61
68 11 61
68 53 61
68 54 61
68 55 61
69 38 62
69 10 62
69 12 62
69 46 62
69 47 62
69 19 62
69 27 62
70 5 63
70 38 63
70 12 63
70 26 63
70 28 63
70 58 63
70 63 63
71 64 64
71 66 64
71 36 64
71 10 64
71 13 64
71 52 64
71 62 64
72 35 65
72 69 65
72 71 65
72 41 65
72 12 65
72 20 65
72 21 65
73 19 66
73 4 66
73 5 66
73 70 66
73 10 66
73 51 66
73 30 66
74 37 67
74 50 67
74 15 67
74 17 67
74 18 67
74 47 67
74 31 67
75 71 68
75 73 68
75 43 68
75 14 68
75 49 68
75 46 68
75 31 68
76 66 69
76 7 69
76 12 69
76 2 69
76 20 69
76 28 69
76 29 69
77 64 70
77 7 70
77 12 70
77 76 70
77 14 70
77 48 70
77 52 70
78 4 71
78 6 71
78 7 71
78 12 71
78 75 71
78 44 71
78 14 71
79 66 72
79 7 72
79 43 72
79 13 72
79 51 72
79 25 72
79 31 72
80 68 73
80 71 73
80 77 73
80 47 73
80 22 73
80 23 73
80 60 73
81 32 74
81 3 74
81 4 74
81 72 74
81 14 74
81 27 74
81 30 74
82 32 75
82 38 75
82 48 75
82 49 75
82 53 75
82 25 75
82 28 75
83 64 76
83 1 76
83 3 76
83 71 76
83 9 76
83 79 76
83 49 76
84 7 77
84 81 77
84 52 77
84 57 77
84 58 77
84 61 77
84 63 77
85 41 78
85 79 78
85 49 78
85 50 78
85 52 78
85 23 78
85 63 78
86 10 79
86 11 79
86 76 79
86 14 79
86 79 79
86 18 79
86 29 79
87 16 80
87 51 80
87 12 80
87 48 80
87 19 80
87 21 80
87 63 80
88 67 81
88 44 81
88 47 81
88 18 81
88 87 81
88 25 81
88 63 81
89 19 82
89 67 82
89 40 82
89 75 82
89 49 82
89 35 82
89 87 82
90 2 83
90 67 83
90 37 83
90 39 83
90 9 83
90 79 83
90 31 83
91 32 84
91 70 84
91 38 84
91 43 84
91 76 84
91 15 84
91 56 84
92 5 85
92 17 85
92 19 85
92 23 85
92 26 85
92 59 85
92 63 85
93 73 86
93 43 86
93 82 86
93 47 86
93 49 86
93 50 86
93 89 86
94 66 87
94 40 87
