"id1","id2","time"
2,1,1
3,2,1
3,1,1
4,3,1
4,2,1
4,1,1
5,4,1
5,3,1
5,2,1
5,1,1
6,5,1
6,4,1
6,3,1
6,2,1
6,1,1
7,6,1
7,5,1
7,4,1
7,3,1
7,2,1
7,1,1
8,7,1
8,6,1
8,5,1
8,4,1
8,3,1
8,2,1
8,1,1
9,1,2
9,2,2
9,3,2
9,4,2
9,5,2
9,6,2
9,7,2
9,8,2
10,1,3
10,2,3
10,4,3
10,5,3
10,6,3
10,7,3
10,8,3
10,9,3
11,1,4
11,2,4
11,3,4
11,4,4
11,5,4
11,7,4
11,9,4
11,10,4
12,1,5
12,3,5
12,4,5
12,5,5
12,6,5
12,7,5
12,8,5
12,10,5
13,1,6
13,2,6
13,4,6
13,5,6
13,6,6
13,7,6
13,10,6
13,12,6
14,2,7
14,3,7
14,4,7
14,5,7
14,6,7
14,7,7
14,8,7
14,12,7
15,1,8
15,2,8
15,3,8
15,4,8
15,7,8
15,8,8
15,9,8
15,11,8
16,1,9
16,2,9
16,4,9
16,5,9
16,6,9
16,7,9
16,8,9
16,9,9
17,1,10
17,2,10
17,3,10
17,5,10
17,7,10
17,8,10
17,9,10
17,10,10
18,1,11
18,2,11
18,3,11
18,4,11
18,5,11
18,8,11
18,10,11
18,11,11
19,1,12
19,2,12
19,3,12
19,5,12
19,6,12
19,8,12
19,9,12
19,11,12
20,1,13
20,2,13
20,3,13
20,4,13
20,5,13
20,7,13
20,9,13
20,10,13
21,1,14
21,2,14
21,3,14
21,4,14
21,5,14
21,6,14
21,7,14
21,10,14
22,1,15
22,2,15
22,3,15
22,4,15
22,5,15
22,6,15
22,7,15
22,8,15
23,2,16
23,3,16
23,4,16
23,5,16
23,7,16
23,8,16
23,9,16
23,10,16
24,1,17
24,2,17
24,3,17
24,4,17
24,5,17
24,6,17
24,7,17
24,9,17
25,1,18
25,2,18
25,4,18
25,5,18
25,6,18
25,7,18
25,8,18
25,9,18
26,1,19
26,2,19
26,5,19
26,6,19
26,7,19
26,8,19
26,9,19
26,11,19
27,1,20
27,3,20
27,4,20
27,5,20
27,6,20
27,8,20
27,12,20
27,13,20
28,2,21
28,3,21
28,4,21
28,5,21
28,7,21
28,9,21
28,10,21
28,12,21
29,1,22
29,2,22
29,5,22
29,6,22
29,7,22
29,8,22
29,9,22
29,10,22
30,1,23
30,2,23
30,3,23
30,4,23
30,6,23
30,7,23
30,8,23
30,9,23
31,1,24
31,3,24
31,4,24
31,5,24
31,6,24
31,7,24
31,8,24
31,9,24
